2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150,2160,2170,2180,2190,2200
0,106.9,221.61,379.04,561.44,783.47,1042,1338.8,1692.2,2091.1,2507.5,2818.5,3285.5,3812,4353.3,4896.5,5478,6092.9,6725.5,7366.9,8084.5
0,107.41,222.63,380.57,563.48,786.02,1045.1,1342.4,1696.3,2095.7,2512.6,2824.1,3291.6,3818.7,4360.4,4904.2,5486.1,6101.6,6734.7,7376.5,8094.6
0,107.76,223.32,381.61,564.86,787.75,1047.2,1344.8,1699.1,2098.8,2516,2828,3295.8,3823.2,4365.3,4909.4,5491.7,6107.5,6741,7383.1,8101.6
0,108.04,223.87,382.44,565.97,789.13,1048.8,1346.7,1701.3,2101.3,2518.8,2831,3299.1,3826.8,4369.2,4913.5,5496.1,6112.2,6745.9,7388.4,8107.1
0,108.28,224.35,383.16,566.93,790.33,1050.3,1348.4,1703.2,2103.4,2521.2,2833.6,3302,3829.9,4372.5,4917.1,5499.9,6116.2,6750.3,7392.9,8111.9
0,108.49,224.79,383.81,567.8,791.42,1051.6,1349.9,1705,2105.4,2523.4,2836,3304.6,3832.7,4375.6,4920.4,5503.4,6119.9,6754.2,7397.1,8116.3
0,108.7,225.19,384.42,568.61,792.43,1052.8,1351.4,1706.6,2107.2,2525.4,2838.3,3307,3835.3,4378.4,4923.4,5506.7,6123.4,6757.8,7400.9,8120.3
0,108.89,225.58,385.01,569.39,793.41,1054,1352.7,1708.1,2109,2527.4,2840.4,3309.4,3837.9,4381.1,4926.4,5509.8,6126.7,6761.3,7404.6,8124.2
0,109.08,225.97,385.58,570.16,794.36,1055.1,1354.1,1709.7,2110.7,2529.3,2842.5,3311.6,3840.4,4383.8,4929.2,5512.8,6130,6764.8,7408.3,8128
0,109.27,226.35,386.15,570.92,795.32,1056.2,1355.4,1711.2,2112.4,2531.2,2844.6,3313.9,3842.8,4386.5,4932.1,5515.9,6133.2,6768.2,7411.9,8131.9
0,109.47,226.74,386.74,571.7,796.29,1057.4,1356.8,1712.8,2114.2,2533.1,2846.8,3316.3,3845.4,4389.2,4935,5519,6136.5,6771.7,7415.6,8135.8
0,109.67,227.15,387.35,572.51,797.31,1058.6,1358.2,1714.4,2116,2535.2,2849,3318.7,3848,4392.1,4938.1,5522.3,6140,6775.4,7419.5,8139.8
0,109.89,227.58,388,573.38,798.4,1059.9,1359.7,1716.1,2118,2537.3,2851.4,3321.3,3850.8,4395.1,4941.3,5525.7,6143.7,6779.3,7423.6,8144.2
0,110.13,228.06,388.72,574.34,799.59,1061.4,1361.4,1718,2120.1,2539.7,2854,3324.2,3854,4398.5,4944.9,5529.6,6147.7,6783.6,7428.1,8149
0,110.41,228.61,389.55,575.45,800.98,1063,1363.3,1720.3,2122.6,2542.5,2857.1,3327.5,3857.6,4402.3,4949.1,5534,6152.5,6788.6,7433.4,8154.5
0,110.75,229.31,390.59,576.84,802.71,1065.1,1365.8,1723,2125.7,2546,2860.9,3331.7,3862.1,4407.2,4954.3,5539.5,6158.3,6794.8,7440,8161.4
0,111.26,230.33,392.12,578.87,805.26,1068.2,1369.3,1727.1,2130.3,2551.1,2866.5,3337.8,3868.7,4414.3,4961.9,5547.7,6167,6804,7449.7,8171.6
0,142.92,294.47,497.69,718.02,997.05,1312.9,1673.1,2100.3,2572.2,3080.9,3177.8,3684.4,4268.6,4885.8,5453.3,6059.9,6738,7415.4,8071.2,8826.5
0,143.43,295.49,499.22,720.06,999.6,1315.9,1676.7,2104.4,2576.8,3086,3183.4,3690.5,4275.2,4892.9,5460.9,6068.1,6746.7,7424.6,8080.9,8836.7
0,143.77,296.18,500.26,721.44,1001.3,1318,1679.1,2107.1,2579.9,3089.5,3187.2,3694.7,4279.7,4897.8,5466.1,6073.6,6752.5,7430.8,8087.5,8843.6
0,144.05,296.74,501.09,722.55,1002.7,1319.7,1681.1,2109.3,2582.4,3092.3,3190.3,3698,4283.3,4901.7,5470.3,6078.1,6757.3,7435.8,8092.8,8849.1
0,144.29,297.22,501.81,723.51,1003.9,1321.1,1682.7,2111.3,2584.6,3094.6,3192.9,3700.9,4286.4,4905,5473.9,6081.9,6761.3,7440.1,8097.3,8853.9
0,144.51,297.65,502.46,724.38,1005,1322.4,1684.3,2113,2586.5,3096.8,3195.3,3703.5,4289.2,4908.1,5477.2,6085.4,6765,7444.1,8101.4,8858.3
0,144.71,298.06,503.07,725.19,1006,1323.6,1685.7,2114.6,2588.3,3098.9,3197.6,3705.9,4291.9,4910.9,5480.2,6088.6,6768.5,7447.7,8105.3,8862.3
0,144.9,298.45,503.66,725.97,1007,1324.8,1687,2116.2,2590.1,3100.8,3199.7,3708.3,4294.4,4913.6,5483.1,6091.8,6771.8,7451.2,8109,8866.2
0,145.1,298.83,504.23,726.74,1007.9,1325.9,1688.4,2117.7,2591.8,3102.7,3201.8,3710.6,4296.9,4916.3,5486,6094.8,6775,7454.7,8112.6,8870
